Accession.Number,species.label,corolla.width,spur.length,blade.length,blade.width,blade.cleft,sepal.length,sepal.width,anther.exsertion
V176410,flavescens,1.5,1.1,0.5,0.6,0,1.7,0.55,0.9
V64139,flavescens,1.5,1.7,0.5,0.4,0,1.3,0.4,0.6
V33047,flavescens,1.55,1,0.6,0.7,0,2,0.7,0.8
V64133,flavescens,1.95,1.4,0.7,0.7,0,2.2,0.7,0.4
V33046,flavescens,1.3,1,0.48,0.56,0,1.6,0.5,0.8
V34060,flavescens,1.8,1.6,0.8,0.9,0,1.9,0.7,0.5
94792,flavescens,1.7,1.9,0.6,0.6,0,2.3,0.8,1.3
66717,flavescens,1.9,1.5,0.6,0.6,0,2.2,0.7,0.6
83687,flavescens,1.8,1.4,0.5,0.6,0,1.7,0.7,0.7
86455,flavescens,1.77,1.5,0.6,0.7,0,2.1,1.13,0.66
103901,flavescens,2.15,1.3,0.6,0.73,0,1.7,0.9,0.62
34061,flavescens,1.4,1.2,0.6,0.5,0,1.6,0.5,0.7
34064,flavescens,2.08,1.8,0.46,0.7,0,2.2,0.55,1
88893,flavescens,2.1,1.5,0.6,0.7,0,2.1,0.53,0.6
47325,flavescens,2.15,1.4,0.84,0.7,0,2.3,0.85,0.47
121267,flavescens,1.96,1.4,0.8,0.73,0,2,0.73,0.5
97386,flavescens,2.3,1.4,0.7,0.7,0,2,0.7,0.6
34065,flavescens,1.9,1.5,0.6,0.8,0,1.9,0.55,0.56
218291,flavescens,2,1.7,0.6,0.7,0,2.2,0.62,0.45
34063,flavescens,1.9,1.7,0.6,0.6,0,2.1,0.4,0.5
34062,flavescens,1.9,1.5,0.4,0.7,0,1.8,0.6,0.9
152515,flavescens,1.75,1.1,0.5,0.6,0,1.5,0.6,0.5
160779,flavescens,1.96,1.6,0.5,0.9,0,2.1,0.6,0.8
96788,flavescens,1.95,1.5,0.8,0.62,0,2.6,0.9,0.4
96787,flavescens,1.6,1.4,0.4,0.5,0,2.1,0.6,1
V133288,flavescens,1.9,1.5,0.7,0.7,0,2.4,0.8,0.4
133265,flavescens,1.7,0.8,0.45,0.65,0,1.7,0.9,0.5
21843,flavescens,1.2,1,0.4,0.51,0,1.3,0.53,0.69
21844,flavescens,1.4,1.1,0.4,0.6,0,1.5,0.6,0.8
82402,flavescens,2.2,1.6,0.5,0.7,0,2.1,0.8,0.8
82475,flavescens,2.05,1.6,0.6,0.9,0,1.5,0.6,0.65
